userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
40_NY_0,40_NY_0!,NY,Commack High School,Commack,NY,4,2024,Physics,History,710,720,30,29,29,30,30,720,720,720,710,730,720,730,710,730,5
40_NY_1,40_NY_1!,NY,Commack High School,Commack,NY,4,2024,Physics,History,630,610,27,27,29,28,28,730,710,730,730,710,710,730,730,730,7
40_NY_2,40_NY_2!,NY,Commack High School,Commack,NY,4,2025,Physics,Philosophy,630,630,27,29,29,28,28,720,710,710,730,730,720,720,710,710,7
40_NY_3,40_NY_3!,NY,Commack High School,Commack,NY,3.8,2025,Physics,Philosophy,610,610,29,29,29,28,29,730,720,720,710,730,730,710,730,730,5
40_IL_40,40_IL_40!,IL,Crystal Lake Central High School,Crystal Lake,IL,4,2024,Physics,Philosophy,610,620,29,27,28,27,28,730,720,720,710,730,710,720,710,730,7
40_IL_41,40_IL_41!,IL,Crystal Lake Central High School,Crystal Lake,IL,4,2025,Physics,English,610,610,29,27,28,29,28,730,710,730,730,730,720,710,720,710,7
40_IL_42,40_IL_42!,IL,Crystal Lake Central High School,Crystal Lake,IL,4,2025,Physics,Philosophy,620,610,29,27,28,29,28,730,710,730,730,720,720,730,720,710,7
40_IL_43,40_IL_43!,IL,Crystal Lake Central High School,Crystal Lake,IL,4,2024,Physics,History,630,610,29,28,28,28,28,730,730,720,720,710,720,720,710,710,5
40_KS_80,40_KS_80!,KS,Lawrence Free State High School,Lawrence,KS,4,2024,Physics,History,630,630,27,27,29,27,28,710,720,710,730,720,720,730,710,710,5
40_KS_81,40_KS_81!,KS,Lawrence Free State High School,Lawrence,KS,3.9,2024,Physics,English,630,620,29,27,29,28,28,710,720,720,710,720,710,710,710,710,5
40_KS_82,40_KS_82!,KS,Lawrence Free State High School,Lawrence,KS,4,2025,Physics,Philosophy,610,620,27,28,29,28,28,720,710,710,710,720,730,720,720,730,5
40_KS_83,40_KS_83!,KS,Lawrence Free State High School,Lawrence,KS,4,2025,Physics,Philosophy,630,610,28,27,28,27,28,710,730,730,730,730,730,720,730,710,6
40_NC_120,40_NC_120!,NC,Providence High School,Charlotte,NC,4,2025,Physics,English,630,610,28,29,29,28,28,720,720,730,720,730,720,720,710,710,7
40_NC_121,40_NC_121!,NC,Providence High School,Charlotte,NC,4,2024,Physics,History,610,630,28,28,29,29,28,720,710,710,730,730,710,710,710,720,6
40_NC_122,40_NC_122!,NC,Providence High School,Charlotte,NC,4,2024,Physics,Psychology,610,610,28,28,28,29,28,710,710,730,730,730,730,710,710,730,7
40_NC_123,40_NC_123!,NC,Providence High School,Charlotte,NC,4,2025,Physics,English,620,630,28,27,29,29,28,730,730,720,710,720,720,710,730,720,6
40_NY_160,40_NY_160!,NY,South Side High School,Rockville Centre,NY,4,2025,Physics,Psychology,610,620,29,27,29,28,28,730,730,710,720,730,720,710,710,720,6
40_NY_161,40_NY_161!,NY,South Side High School,Rockville Centre,NY,4,2024,Physics,English,610,610,29,27,28,27,28,710,720,720,720,730,710,710,730,720,7
40_NY_162,40_NY_162!,NY,South Side High School,Rockville Centre,NY,4,2024,Physics,History,630,610,27,29,29,28,28,720,730,730,730,710,720,720,730,720,7
40_NY_163,40_NY_163!,NY,South Side High School,Rockville Centre,NY,3.9,2025,Physics,History,620,620,28,27,29,28,28,710,720,730,710,720,710,710,720,730,5
37_GA_0,37_GA_0!,GA,Flowery Branch High School,Flowery Branch,GA,3.8,2024,Mathematics,History,580,580,24,26,26,25,25,700,700,700,690,700,680,700,700,700,5
37_GA_1,37_GA_1!,GA,Flowery Branch High School,Flowery Branch,GA,3.7,2025,Mathematics,Psychology,590,580,24,25,25,24,24,690,680,680,700,690,690,690,700,690,6
37_GA_2,37_GA_2!,GA,Flowery Branch High School,Flowery Branch,GA,3.7,2025,Mathematics,Philosophy,600,600,26,24,25,25,25,700,700,680,680,680,680,680,680,680,5
37_GA_3,37_GA_3!,GA,Flowery Branch High School,Flowery Branch,GA,3.6,2024,Mathematics,Psychology,590,590,25,25,26,25,25,690,680,700,690,680,680,700,680,690,6
37_SC_40,37_SC_40!,SC,Ashley Ridge High School,Summerville,SC,3.8,2025,Mathematics,English,580,600,24,26,24,24,24,700,690,680,700,680,700,690,690,700,6
37_SC_41,37_SC_41!,SC,Ashley Ridge High School,Summerville,SC,3.5,2025,Mathematics,Philosophy,590,580,26,26,25,25,26,690,690,690,700,680,690,700,700,690,4
37_SC_42,37_SC_42!,SC,Ashley Ridge High School,Summerville,SC,3.9,2025,Mathematics,English,580,600,25,26,25,24,25,690,690,700,680,680,690,700,690,680,4
37_SC_43,37_SC_43!,SC,Ashley Ridge High School,Summerville,SC,3.8,2025,Mathematics,History,600,600,25,26,25,26,26,680,700,690,700,680,700,690,680,690,5
37_NM_80,37_NM_80!,NM,Volcano vista High School,Albuquerque,NM,3.7,2024,Mathematics,History,580,580,24,24,25,25,24,700,700,680,700,700,690,690,680,700,6
37_NM_81,37_NM_81!,NM,Volcano vista High School,Albuquerque,NM,3.8,2024,Mathematics,English,590,590,26,26,24,25,25,690,690,700,700,700,700,680,690,700,6
37_NM_82,37_NM_82!,NM,Volcano vista High School,Albuquerque,NM,3.6,2024,Mathematics,English,590,580,25,26,24,26,25,700,680,680,690,700,690,690,690,690,4
37_NM_83,37_NM_83!,NM,Volcano vista High School,Albuquerque,NM,3.5,2024,Mathematics,Philosophy,590,600,26,25,26,26,26,690,690,690,700,680,680,700,690,680,5
37_NY_120,37_NY_120!,NY,Island Trees High School,Levittown,NY,3.5,2024,Mathematics,Philosophy,590,600,26,26,26,25,26,680,690,680,690,700,690,680,700,700,4
37_NY_121,37_NY_121!,NY,Island Trees High School,Levittown,NY,3.9,2025,Mathematics,History,580,580,24,26,25,25,25,690,700,700,680,690,690,700,700,690,6
37_NY_122,37_NY_122!,NY,Island Trees High School,Levittown,NY,3.8,2025,Mathematics,Psychology,590,600,26,25,24,26,25,700,680,690,680,690,700,700,700,690,6
37_NY_123,37_NY_123!,NY,Island Trees High School,Levittown,NY,3.8,2024,Mathematics,Psychology,590,580,24,25,24,25,24,700,680,690,700,700,700,690,680,680,5
37_TX_160,37_TX_160!,TX,Fairfield High School,Fairfield,TX,3.7,2024,Mathematics,Psychology,580,600,24,24,24,24,24,700,690,680,690,680,680,700,690,680,6
37_TX_161,37_TX_161!,TX,Fairfield High School,Fairfield,TX,3.9,2025,Mathematics,History,580,600,24,25,26,25,25,690,700,700,690,680,700,680,700,690,5
37_TX_162,37_TX_162!,TX,Fairfield High School,Fairfield,TX,3.9,2024,Mathematics,Psychology,580,580,26,24,24,25,25,680,690,680,690,690,680,680,700,700,6
37_TX_163,37_TX_163!,TX,Fairfield High School,Fairfield,TX,3.6,2024,Mathematics,Philosophy,580,600,25,24,26,25,25,680,700,680,700,700,680,680,690,680,4
